,producto,marca,material,mediana_diaria,sigma_robusta,stock_seguro,ss/6,ss/20,ss/100,ss/200,punto_reorden,rop/6,rop/20,rop/100,rop/200
0,PIJA FIJADORA 8 X 32,SIN MARCA,ACERO,20,17.7912,65,11,3,1,0,225,38,11,2,1
1,"TUBO PVC SANITARIO 8""",ADVANCE,PVC,18,17.7912,65,11,3,1,0,209,35,10,2,1
2,POLIDUCTO 1/2 REFORZADO C-80 (13MM),SIN MARCA,PLASTICO,15.150000005960464,16.530990008836984,61,10,3,1,0,182,30,9,2,1
3,MANGUERA TRAMADA VERDE 1/2,SIN MARCA,PLASTICO,15.5,12.97275,48,8,2,0,0,172,29,9,2,1
4,MANGUERA AHULADA AZUL  1/2,SIN MARCA,PLASTICO,14.5,12.6021,46,8,2,0,0,162,27,8,2,1
5,TUBO PEAD RD-9 13 MM,PEAD,PLASTICO,15,10.3782,38,6,2,0,0,158,26,8,2,1
6,POLIDUCTO 3/4 C-40 (19 MM),SIN MARCA,PLASTICO,12,13.343399999999999,49,8,2,0,0,145,24,7,1,1
7,VIDRIO BLOCK PARALELO,SIN MARCA,VIDRIO,18,0,0,0,0,0,0,144,24,7,1,1
8,BARRIL PARA GAS 5/16,SIN MARCA,BRONCE,11,13.343399999999999,49,8,2,0,0,137,23,7,1,1
9,"TUBO PVC SANITARIO 6""",ADVANCE,PVC,12,8.8956,33,6,2,0,0,129,22,6,1,1
10,TORNILLO HEX FoNo 3/4 X 3 1/2 C/TUERCA,SIN MARCA,ACERO,16,0,0,0,0,0,0,128,21,6,1,1
11,FOCO 75 WTS OSRAM LEED 11 W,OSRAM,FOCO,16,0,0,0,0,0,0,128,21,6,1,1
12,PIJA FIJADORA 8 X 38,SIN MARCA,ACERO,11,10.3782,38,6,2,0,0,126,21,6,1,1
13,TUBO P/GAS AMAR. 3/8 DURMAN,DURMAN,MULTICAPA,12,7.412999999999999,27,4,1,0,0,123,20,6,1,1
14,CAJA REGISTRO GALV. T/CHALUPA,SIN MARCA,GALVANIZADO,15,0,0,0,0,0,0,120,20,6,1,1
15,VIDRIO BLOCK CREAR SAVONA BURBUJAS,SIN MARCA,VIDRIO,15,0,0,0,0,0,0,120,20,6,1,1
16,"TAQUETE PLASTICO 5/16"" ",ZAKANY,PLASTICO,10,8.8956,33,6,2,0,0,113,19,6,1,1
17,PIJA FIJADORA 10 X 25,SIN MARCA,ACERO,10,8.8956,33,6,2,0,0,113,19,6,1,1
