,producto
811,RED. PLUS 1 X 1/2 (32 X 20 MM)
1463,"CODO HID. P/CEM. 90 X 1"""
1465,"CODO HID. P/CEM. 90 X 2"""
1467,"CODO HID. P/CEM. 90 X 3/4"""
1469,"COPLE HID. P/CEM. 1 1/2"""
1471,"COPLE HID. P/CEM. 1"""
1472,"COPLE HID. P/CEM. 1/2"""
1462,"CODO HID. P/CEM. 90 X 1 1/2"""
1473,"COPLE HID. P/CEM. 2"""
1475,"COPLE HID. REPARACIÓN 1 1/2"" CON ANILLO"
1476,"COPLE HID. REPARACIÓN 2"" CON ANILLO"
1478,"COPLE SANIT D/DILATACIÓN 4"""
1479,"COPLE SANIT. P/CEM. 1 1/2"""
1480,"COPLE SANIT. P/CEM. 2"""
1481,"COPLE SANIT. P/CEM. 3"""
1474,"COPLE HID. P/CEM. 3/4"""
1460,"CODO HID. P/CEM. 45 X 2"""
1457,"CODO HID. P/CEM. 45 X 1"""
1455,"CODO HID. P/CEM. 45 X 1 1/2"""
1435,FLOTADOR POLIURETANO No. 5
1436,FLOTADOR POLIURETANO No. 6
1437,REGULADOR PRESIMEX MOD. 7000 A.P.
1439,"REJILLA CROMADA 1/4 VTA. REX 4"""
1441,"ADAPTADOR HID. P/CEM. HEMBRA 1"""
1442,"ADAPTADOR HID. P/CEM. HEMBRA 1/2"""
1443,"ADAPTADOR HID. P/CEM. HEMBRA 2"""
1444,"ADAPTADOR HID. P/CEM. HEMBRA 3/4"""
1445,"ADAPTADOR HID. P/CEM. MACHO 1 1/2"""
1446,"ADAPTADOR HID. P/CEM. MACHO 1 1/4"""
1447,"ADAPTADOR HID. P/CEM. MACHO 1"""
1448,"ADAPTADOR HID. P/CEM. MACHO 1/2"""
1449,"ADAPTADOR HID. P/CEM. MACHO 2"""
1450,"ADAPTADOR HID. P/CEM. MACHO 3/4"""
1452,CAMPANA HIDRAULICA DE 2 
1482,"COPLE SANIT. P/CEM. 4"""
1434,FLOTADOR POLIURETANO No. 4
1483,"COPLE SANIT. P/CEM. 6"""
1487,"TUERCA UNION HID. CEM. 1"" "
1514,"RED. SANIT. 6"" X 4"" P/CEM."
1515,"TAPA D/INSERC. SANIT 2"" "
1516,"TAPA D/INSERC. SANIT 4"" "
1519,"TEE P/CEMENTAR 2"" SANIT."
1520,"TEE P/CEMENTAR 3"" SANIT."
1521,"TEE P/CEMENTAR 4"" SANIT."
1513,"RED. SANIT. 4"" X 3"" P/CEM."
1522,"TEE P/CEMENTAR 6"" SANIT."
1525,"YEE PVC RED.P/CEM. 4"" X 2"""
1527,BOYLER RHEEM INSTANTANEO  6 LTS
1528,BOLA FLOTADOR ROTOPLAS No.5
1529,BOLA FLOTADOR ROTOPLAS No.7 
1531,MULTICONECTOR ROTOPLAST
1532,TINACO ROTOPLAS 1100 LTS.
1524,"YEE PVC P/CEM. 4"""
1512,"RED. SANIT. 4"" X 2"" P/CEM."
1511,"RED. SANIT. 3"" X 2"" P/CEM."
1510,COLADERA MULTIPLE PVC
1489,"TUERCA UNION HID. CEM. 2"" "
1493,LUBRICANTE P.V.C. 500 GR. REX
1494,CONO REX P/BOTE CESPOL
1495,"ADAPTADOR PVC GAL ESP. 2"""
1496,"BOTE CESPOL CEM. C/1 SAL. 2"""
1497,"BOTE CESPOL UNIC. C/1 SAL. 2"""
1498,"CODO P/CEM. 45 X 2"""
